,,,,revised,,abc,dogtime,petguide,,,koinuno,,,Audio,,Handbook,
code,sku,eng,jap,,wiki,eng1,eng2,eng3,eng5,Jwiki,jap1,jap2,jap3,eng,jap,,
poster-001,,,グループで人気の犬種,,, , , , , , , , ,,,page,order
poster-002,,Popular Dog Breeds in Groups,,,, , , , , , , , ,,,,
poster-058,P12003,Shikoku,四国犬 （しこくけん）,,https://en.wikipedia.org/wiki/Shikoku_(dog),https://www.akc.org/dog-breeds/shikoku/,https://dogtime.com/dog-breeds/shiba-inu, , ,https://ja.wikipedia.org/wiki/%E5%9B%9B%E5%9B%BD%E7%8A%AC,https://www.koinuno-heya.com/syurui/sagyou/shikoku-ken.html, , ,,,5,11
poster-059,,SPORTING GROUP,スポーティング グループ,,,,,,,,,https://www.dogfan.jp/zukan/sports/Group/index.html, ,,,スポーティング（犬種）,
poster-059,,SPORTING,スポーティング,,,,,,,,,,,,,,
poster-060,P12004,English Setter,イングリッシュ セター,,https://en.wikipedia.org/wiki/English_Setter,https://www.akc.org/dog-breeds/english-setter/,https://dogtime.com/dog-breeds/english-setter#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%82%BB%E3%82%BF%E3%83%BC,https://www.koinuno-heya.com/syurui/agyou/english-setter.html, , ,,,6,1
poster-061,P12004,Auvergne Pointer,オーベルニュ ポインター,,https://en.wikipedia.org/wiki/Braque_d%27Auvergne,https://www.akc.org/dog-breeds/german-shorthaired-pointer/,https://dogtime.com/dog-breeds/german-shorthaired-pointer#/slide/1, , , ,https://www.koinuno-heya.com/syurui/agyou/auvergne-pointer.html, , ,,,6,2
poster-062,P12004,American Cocker Spaniel,アメリカン コッカー スパニエル,,https://en.wikipedia.org/wiki/American_Cocker_Spaniel,https://www.akc.org/dog-breeds/cocker-spaniel/,https://dogtime.com/dog-breeds/cocker-spaniel, , ,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%82%B3%E3%83%83%E3%82%AB%E3%83%BC%E3%83%BB%E3%82%B9%E3%83%91%E3%83%8B%E3%82%A8%E3%83%AB,https://www.koinuno-heya.com/syurui/agyou/american-cocker-spaniel.html, , ,,,6,3
poster-063,P12004,English Cocker Spaniel,イングリッシュ コッカー スパニエル,,https://en.wikipedia.org/wiki/English_Cocker_Spaniel,https://www.akc.org/dog-breeds/english-cocker-spaniel/,https://dogtime.com/dog-breeds/english-cocker-spaniel#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%82%B3%E3%83%83%E3%82%AB%E3%83%BC%E3%83%BB%E3%82%B9%E3%83%91%E3%83%8B%E3%82%A8%E3%83%AB,https://www.koinuno-heya.com/syurui/agyou/english-cocker-spaniel.html, , ,,,7,1
poster-064,P12004,Curly-coated Retriever,カーリーコーテッドレトリバー,,https://en.wikipedia.org/wiki/Curly-coated_Retriever,https://www.akc.org/dog-breeds/curly-coated-retriever/,https://dogtime.com/dog-breeds/curly-coated-retriever#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%83%AA%E3%83%BC%E3%82%B3%E3%83%BC%E3%83%86%E3%83%83%E3%83%89%E3%83%BB%E3%83%AC%E3%83%88%E3%83%AA%E3%83%BC%E3%83%90%E3%83%BC,https://www.koinuno-heya.com/syurui/kagyou/curly-coated-retriever.html, , ,,,7,2
poster-065,P12004,Brittany,ブリタニー,,https://en.wikipedia.org/wiki/Brittany_(dog),https://www.akc.org/dog-breeds/brittany/,https://dogtime.com/dog-breeds/brittany#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AA%E3%82%BF%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%B9%E3%83%91%E3%83%8B%E3%82%A8%E3%83%AB,https://www.koinuno-heya.com/syurui/hagyou/brittany.html, , ,,,7,3
poster-066,P12004,Gordon Setter,ゴードン セッター,,https://en.wikipedia.org/wiki/Gordon_Setter,https://www.akc.org/dog-breeds/gordon-setter/,https://dogtime.com/dog-breeds/gordon-setter#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%BC%E3%83%89%E3%83%B3%E3%83%BB%E3%82%BB%E3%83%83%E3%82%BF%E3%83%BC,https://www.koinuno-heya.com/syurui/kagyou/gordon-setter.html, , ,,,6,4
poster-067,P12004,English Springer Spaniel,イングリッシュ スプリンガー スパニエル,,https://en.wikipedia.org/wiki/English_Springer_Spaniel,https://www.akc.org/dog-breeds/english-springer-spaniel/,https://dogtime.com/dog-breeds/english-springer-spaniel#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%82%B9%E3%83%97%E3%83%AA%E3%83%B3%E3%82%AC%E3%83%BC%E3%83%BB%E3%82%B9%E3%83%91%E3%83%8B%E3%82%A8%E3%83%AB, ,https://www.min-inuzukan.com/english-springer-spaniel.html, ,,,6,5
poster-068,P12004,Flat-coated Retriever,フラットコーテッド レトリバー,,https://en.wikipedia.org/wiki/Flat-coated_Retriever,https://www.akc.org/dog-breeds/flat-coated-retriever/,https://dogtime.com/dog-breeds/flat-coated-retriever, , ,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%83%E3%83%88%E3%82%B3%E3%83%BC%E3%83%86%E3%83%83%E3%83%89%E3%83%BB%E3%83%AC%E3%83%88%E3%83%AA%E3%83%BC%E3%83%90%E3%83%BC,https://www.koinuno-heya.com/syurui/hagyou/flat-coated-retriever.html, , ,,,6,6
poster-069,P12004,German Wirehaired Pointer,ジャーマンワイヤーヘアードポインター,,https://en.wikipedia.org/wiki/German_Wirehaired_Pointer,https://www.akc.org/dog-breeds/german-wirehaired-pointer/,https://dogtime.com/dog-breeds/german-wirehaired-pointer#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%BB%E3%83%AF%E3%82%A4%E3%82%A2%E3%83%BC%E3%83%98%E3%82%A2%E3%83%BC%E3%83%89%E3%83%BB%E3%83%9D%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC,https://www.koinuno-heya.com/syurui/sagyou/german-wirehaired-pointer.html, , ,,,7,4
poster-070,P12004,Golden Retriever,ゴールデン レトリバー,,https://en.wikipedia.org/wiki/Golden_Retriever,https://www.akc.org/dog-breeds/golden-retriever/,https://dogtime.com/dog-breeds/golden-retriever#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%BB%E3%83%AC%E3%83%88%E3%83%AA%E3%83%90%E3%83%BC,https://www.koinuno-heya.com/syurui/kagyou/golden-retriever.html, , ,,,7,5
poster-071,P12004,German Shorthaired Pointer,ジャーマン  ショートヘアード ポインター,,https://en.wikipedia.org/wiki/German_Shorthaired_Pointer,https://www.akc.org/dog-breeds/german-shorthaired-pointer/,https://dogtime.com/dog-breeds/german-shorthaired-pointer#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%BB%E3%82%B7%E3%83%A7%E3%83%BC%E3%83%88%E3%83%98%E3%82%A2%E3%83%BC%E3%83%89%E3%83%BB%E3%83%9D%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC,https://www.koinuno-heya.com/syurui/sagyou/german-shorthaired-pointer.html, , ,,,7,6
poster-072,P12004,Irish Setter,アイリッシュ セッター,,https://en.wikipedia.org/wiki/Irish_Setter,https://www.akc.org/dog-breeds/irish-setter/,https://dogtime.com/dog-breeds/irish-setter#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%82%BB%E3%83%83%E3%82%BF%E3%83%BC,https://www.koinuno-heya.com/syurui/agyou/irish-setter.html, , ,,,6,7
poster-073,P12004,Labrador Retriever,ラブラドール レトリバー,,https://en.wikipedia.org/wiki/Labrador_Retriever,https://www.akc.org/dog-breeds/labrador-retriever/,https://dogtime.com/dog-breeds/labrador-retriever, , ,https://ja.wikipedia.org/wiki/%E3%83%A9%E3%83%96%E3%83%A9%E3%83%89%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%AC%E3%83%88%E3%83%AA%E3%83%90%E3%83%BC,https://www.koinuno-heya.com/syurui/yarawagyou/labrador-retriever.html, , ,,,6,8
poster-074,P12004,Lagotto Romagnolo,ロマーニャ ウォーター ドッグ,,https://en.wikipedia.org/wiki/Lagotto_Romagnolo,https://www.akc.org/dog-breeds/lagotto-romagnolo/, , ,https://www.dogbreedinfo.com/lagottoromagnolo.htm, ,https://www.koinuno-heya.com/syurui/yarawagyou/romagna-waterdog.html, , ,,,6,9
poster-075,P12004,Pointer,ポインター,,https://en.wikipedia.org/wiki/Pointer_(dog_breed),https://www.akc.org/dog-breeds/pointer/,https://dogtime.com/dog-breeds/pointer#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%9D%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC_(%E7%8A%AC%E7%A8%AE),https://www.koinuno-heya.com/syurui/hagyou/pointer.html, , ,,,7,8
poster-076,P12004,Kooikerhondje,コーイケルホンディエ,,https://en.wikipedia.org/wiki/Kooikerhondje,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/,https://dogtime.com/dog-breeds/kooikerhondje#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%BC%E3%82%A4%E3%82%B1%E3%83%AB%E3%83%9B%E3%83%B3%E3%83%87%E3%82%A3%E3%82%A8,https://www.koinuno-heya.com/syurui/kagyou/kooikerhondje.html, , ,,,7,7
poster-077,P12004,Small Münsterländer,スモール ミュンスターレンダー,,https://en.wikipedia.org/wiki/Small_M%C3%BCnsterl%C3%A4nder,https://www.akc.org/dog-breeds/small-munsterlander-pointer/,https://dogtime.com/dog-breeds/small-munsterlander-pointer#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%A2%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%9F%E3%83%A5%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC,https://www.koinuno-heya.com/syurui/sagyou/small-munsterlander.html, , ,,,7,9
poster-078,P12004,Bracco Italiano,ブラッコ イタリアーノ,,https://en.wikipedia.org/wiki/Bracco_Italiano,https://www.akc.org/dog-breeds/bracco-italiano/,https://dogtime.com/dog-breeds/bracco-italiano#/slide/1, , , ,https://www.koinuno-heya.com/syurui/hagyou/bracco-italiano.html, , ,,,6,10
poster-079,P12004,Vizsla,ビズラ,,https://en.wikipedia.org/wiki/Vizsla,https://www.akc.org/dog-breeds/vizsla/,https://dogtime.com/dog-breeds/vizsla#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A7%E3%83%BC%E3%83%88%E3%83%98%E3%82%A2%E3%83%BC%E3%83%89%E3%83%BB%E3%83%8F%E3%83%B3%E3%82%AC%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%83%93%E3%82%BA%E3%83%A9,https://www.koinuno-heya.com/syurui/hagyou/vizsla.html, , ,,,6,11
poster-080,P12004,Wirehaired Vizsla,"ワイアーヘアード ビズラ",,https://en.wikipedia.org/wiki/Wirehaired_Pointing_Griffon,https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/,https://dogtime.com/dog-breeds/vizsla#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%AF%E3%82%A4%E3%82%A2%E3%83%BC%E3%83%98%E3%82%A2%E3%83%BC%E3%83%89%E3%83%BB%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%B0%E3%83%AA%E3%83%95%E3%82%A9%E3%83%B3,https://www.koinuno-heya.com/syurui/yarawagyou/wirehaired-pointing-griffon.html, , ,,,6,12
poster-081,P12004,Nova Scotia Duck Tolling Retriever,"ノバスコシアダックトーリングレトリバー",,https://en.wikipedia.org/wiki/Nova_Scotia_Duck_Tolling_Retriever,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/,https://dogtime.com/dog-breeds/nova-scotia-duck-tolling-retriever#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%8E%E3%83%B4%E3%82%A1%E3%83%BB%E3%82%B9%E3%82%B3%E3%82%B7%E3%82%A2%E3%83%BB%E3%83%80%E3%83%83%E3%82%AF%E3%83%BB%E3%83%88%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%BB%E3%83%AC%E3%83%88%E3%83%AA%E3%83%BC%E3%83%90%E3%83%BC,https://www.koinuno-heya.com/syurui/nagyou/novascotia-ducktolling-retriever.html, , ,,,7,10
poster-082,P12004,Welsh Springer Spaniel,ウェールズ スプリンガー スパニエル,,https://en.wikipedia.org/wiki/Welsh_Springer_Spaniel,https://www.akc.org/dog-breeds/welsh-springer-spaniel/,https://dogtime.com/dog-breeds/welsh-springer-spaniel#/slide/1, , , ,https://www.koinuno-heya.com/syurui/agyou/welsh-springer-spaniel.html, , ,,,7,11
poster-083,P12004,Weimaraner,"ワイマラナー",,https://en.wikipedia.org/wiki/Weimaraner,https://www.akc.org/dog-breeds/weimaraner/,https://dogtime.com/dog-breeds/weimaraner, , ,https://ja.wikipedia.org/wiki/%E3%83%AF%E3%82%A4%E3%83%9E%E3%83%A9%E3%83%8A%E3%83%BC,https://www.koinuno-heya.com/syurui/yarawagyou/weimaraner.html, , ,,,7,12
poster-084,,WORKING GROUP,ワーキング グループ,,, , , , , ,,https://www.dogfan.jp/zukan/Working/Group/index.html, ,,,,
,,WORKING,ワーキング,,,,,,,,,,,,,,
poster-085,P12004,Akita,秋田犬 (あきたいぬ ),,https://en.wikipedia.org/wiki/Akita_(dog),https://www.akc.org/dog-breeds/akita/,https://dogtime.com/dog-breeds/akita#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%82%A2%E3%82%AD%E3%82%BF,https://www.koinuno-heya.com/syurui/agyou/akita.html, , ,,,8,1
poster-086,P12004,Alaskan Malamute,"アラスカンマラミュート",,https://en.wikipedia.org/wiki/Alaskan_Malamute,https://www.akc.org/dog-breeds/alaskan-malamute/,https://dogtime.com/dog-breeds/alaskan-malamute, , ,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A9%E3%82%B9%E3%82%AB%E3%83%B3%E3%83%BB%E3%83%9E%E3%83%A9%E3%83%9F%E3%83%A5%E3%83%BC%E3%83%88,https://www.koinuno-heya.com/syurui/agyou/alaskan-malamute.html, , ,,,8,2
poster-087,P12004,Anatolian Shepherd,"アナトリアン シェパード ドッグ",,https://en.wikipedia.org/wiki/Anatolian_Shepherd,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,https://dogtime.com/dog-breeds/anatolian-shepherd-dog#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%8A%E3%83%88%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B7%E3%82%A7%E3%83%91%E3%83%BC%E3%83%89%E3%83%BB%E3%83%89%E3%83%83%E3%82%B0,https://www.koinuno-heya.com/syurui/agyou/anatolian-shepherd-dog.html, , ,,,8,3
poster-088,P12004,Bernese Mountain Dog,"バーニーズ マウンテン ドッグ",,https://en.wikipedia.org/wiki/Bernese_Mountain_Dog,https://www.akc.org/dog-breeds/bernese-mountain-dog/,https://dogtime.com/dog-breeds/bernese-mountain-dog#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%BC%E3%83%8B%E3%83%BC%E3%82%BA%E3%83%BB%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3%E3%83%BB%E3%83%89%E3%83%83%E3%82%B0,https://www.koinuno-heya.com/syurui/hagyou/bernese-mountain-dog.html, , ,,,9,1
poster-089,P12004,Black Russian Terrier,ブラック ロシアン テリア,,https://en.wikipedia.org/wiki/Black_Russian_Terrier,https://www.akc.org/dog-breeds/black-russian-terrier/,https://dogtime.com/dog-breeds/black-russian-terrier#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%83%BB%E3%83%AD%E3%82%B7%E3%82%A2%E3%83%B3%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/hagyou/black-russian-terrier.html, , ,,,9,2
poster-090,P12004,Boxer,"ボクサー",,https://en.wikipedia.org/wiki/Boxer_(dog),https://www.akc.org/dog-breeds/boxer/,https://dogtime.com/dog-breeds/boxer#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%9C%E3%82%AF%E3%82%B5%E3%83%BC_(%E7%8A%AC),https://www.koinuno-heya.com/syurui/hagyou/boxer.html, , ,,,9,3
poster-091,P12004,Bullmastiff,"ブルマスティフ",,https://en.wikipedia.org/wiki/Bullmastiff,https://www.akc.org/dog-breeds/bullmastiff/,https://dogtime.com/dog-breeds/bullmastiff#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AB%E3%83%9E%E3%82%B9%E3%83%86%E3%82%A3%E3%83%95,https://www.koinuno-heya.com/syurui/hagyou/bull-mastiff.html, , ,,,8,4
poster-092,P12004,Boerboel,"ブーアブル",,https://en.wikipedia.org/wiki/Boerboel,https://www.akc.org/dog-breeds/boerboel/,https://dogtime.com/dog-breeds/boerboel#/slide/1, , , ,https://www.koinuno-heya.com/syurui/hagyou/boerboel.html, , ,,,8,5
poster-093,P12004,Tosa,土佐犬 (とさいぬ ),,https://en.wikipedia.org/wiki/Tosa_(dog),https://www.akc.org/dog-breeds/tosa/, , ,https://www.dogbreedinfo.com/tosa.htm,https://ja.wikipedia.org/wiki/%E5%9C%9F%E4%BD%90%E9%97%98%E7%8A%AC,https://www.koinuno-heya.com/syurui/tagyou/tosainu.html, , ,,,8,6
poster-094,P12004,Dogue de Bordeaux,"ドーグドボルドー",,https://en.wikipedia.org/wiki/Dogue_de_Bordeaux,https://www.akc.org/dog-breeds/dogue-de-bordeaux/,https://dogtime.com/dog-breeds/dogue-de-bordeaux, , ,https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%AB%E3%83%89%E3%83%BC%E3%83%BB%E3%83%9E%E3%82%B9%E3%83%86%E3%82%A3%E3%83%95,https://www.koinuno-heya.com/syurui/tagyou/dogue-de-bordeau.html, , ,,,9,4
poster-095,P12004,Mastiff,マスティフ,,https://en.wikipedia.org/wiki/Mastiff,https://www.akc.org/dog-breeds/mastiff/,https://dogtime.com/dog-breeds/mastiff#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B9%E3%83%86%E3%82%A3%E3%83%95,https://www.koinuno-heya.com/syurui/magyou/mastiff.html, , ,,,9,5
poster-096,P12004,Great Dane,グレートデーン,,https://en.wikipedia.org/wiki/Great_Dane,https://www.akc.org/dog-breeds/great-dane/,https://dogtime.com/dog-breeds/great-dane#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%88%E3%83%BB%E3%83%87%E3%83%BC%E3%83%B3,https://www.koinuno-heya.com/syurui/kagyou/great-dane.html, , ,,,9,6
poster-097,P12004,Greater Swiss Mountain Dog,グレイタースイスマウンテンドッグ,,https://en.wikipedia.org/wiki/Greater_Swiss_Mountain_Dog,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,https://dogtime.com/dog-breeds/greater-swiss-mountain-dog#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%B9%E3%82%A4%E3%82%B9%E3%83%BB%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3%E3%83%BB%E3%83%89%E3%83%83%E3%82%B0,https://www.koinuno-heya.com/syurui/kagyou/greaterswiss-mountain-dog.html, , ,,,8,7
poster-098,P12004,Rottweiler,ロットワイラー,,https://en.wikipedia.org/wiki/Rottweiler,https://www.akc.org/dog-breeds/rottweiler/,https://dogtime.com/dog-breeds/rottweiler#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%83%E3%83%88%E3%83%AF%E3%82%A4%E3%83%A9%E3%83%BC_(%E7%8A%AC%E7%A8%AE),https://www.koinuno-heya.com/syurui/yarawagyou/rottweiler.html, , ,,,8,8
poster-099,P12004,Kuvasz,クーバース,,https://en.wikipedia.org/wiki/Kuvasz,https://www.akc.org/dog-breeds/kuvasz/,https://dogtime.com/dog-breeds/kuvasz#/slide/1, , , ,https://www.koinuno-heya.com/syurui/kagyou/kuvasz.html, , ,,,8,9
poster-100,P12004,Leonberger,レオンベルガー,,https://en.wikipedia.org/wiki/Leonberger,https://www.akc.org/dog-breeds/leonberger/,https://dogtime.com/dog-breeds/leonberger#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%AC%E3%82%AA%E3%83%B3%E3%83%99%E3%83%AB%E3%82%AC%E3%83%BC,https://www.koinuno-heya.com/syurui/yarawagyou/leonberger.html, , ,,,9,7
poster-101,P12004,Neapolitan Mastiff,ナポリタン マスティフ,,https://en.wikipedia.org/wiki/Neapolitan_Mastiff,https://www.akc.org/dog-breeds/neapolitan-mastiff/,https://dogtime.com/dog-breeds/neapolitan-mastiff#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%9D%E3%83%AA%E3%82%BF%E3%83%B3%E3%83%BB%E3%83%9E%E3%82%B9%E3%83%86%E3%82%A3%E3%83%95,https://www.koinuno-heya.com/syurui/nagyou/neapolitan-mastiff.html, , ,,,9,8
poster-102,P12004,Tibetan Mastiff,"チベタン マスティフ",,https://en.wikipedia.org/wiki/Tibetan_Mastiff,https://www.akc.org/dog-breeds/tibetan-mastiff/,https://dogtime.com/dog-breeds/tibetan-mastiff#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%99%E3%82%BF%E3%83%B3%E3%83%BB%E3%83%9E%E3%82%B9%E3%83%86%E3%82%A3%E3%83%95,https://www.koinuno-heya.com/syurui/tagyou/tibetan-mastiff.html, , ,,,9,9
poster-103,P12004,Doberman,ドーベルマン,,https://en.wikipedia.org/wiki/Dobermann,http://akc.org/dog-breeds/doberman-pinscher/,https://dogtime.com/dog-breeds/doberman-pinscher, , ,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%BC%E3%83%99%E3%83%AB%E3%83%9E%E3%83%B3,https://www.koinuno-heya.com/syurui/tagyou/dobermann.html, , ,,,8,10
poster-104,P12004,Portuguese Water Dog,"ポーチュギーズウォータードッグ",,https://en.wikipedia.org/wiki/Portuguese_Water_Dog,https://www.akc.org/dog-breeds/portuguese-water-dog/,https://dogtime.com/dog-breeds/portuguese-water-dog#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%BC_(%E7%8A%AC),https://www.koinuno-heya.com/syurui/hagyou/portuguese-waterdog.html, , ,,,8,11
poster-105,P12004,Stabyhoun ,シュタバイフーン,,https://en.wikipedia.org/wiki/Stabyhoun,https://www.akc.org/dog-breeds/stabyhoun/,https://dogtime.com/dog-breeds/stabyhoun#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A5%E3%82%BF%E3%83%90%E3%82%A4%E3%83%95%E3%83%BC%E3%83%B3, ,https://petippai.com/dog/catalog/264.html, ,,,8,12
poster-106,P12004,German Pinscher,ジャーマン ピンシャー,,https://en.wikipedia.org/wiki/German_Pinscher,https://www.akc.org/dog-breeds/german-pinscher/,https://dogtime.com/dog-breeds/german-pinscher#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%BB%E3%83%94%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%BC,https://www.koinuno-heya.com/syurui/sagyou/german-pinscher.html, , ,,,8,14
poster-107,P12004,Kai Ken,甲斐犬,,https://en.wikipedia.org/wiki/Kai_Ken,https://www.akc.org/dog-breeds/kai-ken/, , , ,https://ja.wikipedia.org/wiki/%E7%94%B2%E6%96%90%E7%8A%AC,https://www.koinuno-heya.com/syurui/kagyou/kaiken.html, , ,,,9,10
poster-108,P12004,Samoyed,サモエド,,https://en.wikipedia.org/wiki/Samoyed_(dog),https://www.akc.org/dog-breeds/samoyed/,https://dogtime.com/dog-breeds/samoyed#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%A2%E3%82%A8%E3%83%89,https://www.koinuno-heya.com/syurui/sagyou/samoyed.html, , ,,,9,11
poster-109,P12004,Siberian Husky,シベリアン ハスキー,,https://en.wikipedia.org/wiki/Siberian_Husky,https://www.akc.org/dog-breeds/siberian-husky/,https://dogtime.com/dog-breeds/siberian-husky, , ,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%99%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%83%8F%E3%82%B9%E3%82%AD%E3%83%BC,https://www.koinuno-heya.com/syurui/sagyou/siberian-husky.html, , ,,,9,12
poster-110,P12004,Newfoundland,ニューファンドランド,,https://en.wikipedia.org/wiki/Newfoundland_(dog),https://www.akc.org/dog-breeds/newfoundland/,https://dogtime.com/dog-breeds/newfoundland#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%95%E3%82%A1%E3%83%B3%E3%83%89%E3%83%A9%E3%83%B3%E3%83%89_(%E7%8A%AC),https://www.koinuno-heya.com/syurui/nagyou/newfoundland.html, , ,,,8,13
poster-111,P12004,Great Pyrenees,グレート ピレニーズ,,https://en.wikipedia.org/wiki/Great_Pyrenees,https://www.akc.org/dog-breeds/great-pyrenees/,https://dogtime.com/dog-breeds/great-pyrenees#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%88%E3%83%BB%E3%83%94%E3%83%AC%E3%83%8B%E3%83%BC%E3%82%BA,https://www.koinuno-heya.com/syurui/kagyou/great-pyrenees.html, , ,,,8,15
poster-112,P12004,Standard Schnauzer,スタンダード シュナウザー,,https://en.wikipedia.org/wiki/Standard_Schnauzer,https://www.akc.org/dog-breeds/standard-schnauzer/,https://dogtime.com/dog-breeds/standard-schnauzer#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%80%E3%83%BC%E3%83%89%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%8A%E3%82%A6%E3%82%B6%E3%83%BC,https://www.koinuno-heya.com/syurui/sagyou/standard-schnauzer.html, , ,,,9,13
poster-113,P12004,Giant Schnauzer,ジャイアント シュナウザー,,https://en.wikipedia.org/wiki/Giant_Schnauzer,https://www.akc.org/dog-breeds/giant-schnauzer/,https://dogtime.com/dog-breeds/giant-schnauzer#/slide/1, , ,https://ja.wikipedia.org/wiki/ジャイアント・シュナウザー,https://www.koinuno-heya.com/syurui/sagyou/giant-schnauzer.html, , ,,,9,14
