type,name,alias,chart sku,file name,tags,category,cat1,cat2,category alias to replace,bundle_chart_thumb,bundle+chart images,1:1 gallery
bundle,Life Is Better With Cats,life-is-better-with-cats,A0A_10630,images/bundle/A02_10080_cat_277.jpg,"animal,animal,animal,animal,animal,animal,animal,animal,animal,cat,cat,cat,cat,cat,cat,cat,cat,cat,decor,photo,artistic,side,head,decor,illustration,artistic,glasses,painting,decor,photo,artistic,front,facing,decor,photo,artistic,selfie,decor,illustration,artistic,front,painting,decor,photo,artistic,front,decor,photo,artistic,front,decor,illustration,artistic,line art,decor,illustration,line art,gold",cat,animal,cat,,images/bundle/gallery/A02_bundle_charrt_thumb_762.jpg,images/bundle/gallery/A02_cat_room1_sq_sh_267552128_762.jpg|images/bundle/gallery/A02_cat_sizes_decor_n_chart_combo1_762.jpg|images/bundle/gallery/A0A_1251_762.jpg|images/bundle/gallery/A02_cat_09_thin_V_A2_59.4x42_762.jpg|images/bundle/gallery/A02_cat_01_thin_H_A3_29_7_42_762.jpg|images/bundle/gallery/A02_cat_02_thin_H_A3_29_7_42_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_1_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_2_762.jpg|images/bundle/gallery/A02_cat_03_A3_thin_V_30_80_762.jpg|images/bundle/gallery/A02_cat_04_thin_V_A4_29_7_21_762.jpg|images/bundle/gallery/A02_cat_05_thin_V_A3_29_7_42_762.jpg|images/bundle/gallery/A02_cat_06_thin_V_A4_29_7_21_762.jpg|images/bundle/gallery/A02_cat_07_thin_H_A2_59_4_42_762.jpg|images/bundle/gallery/A02_cat_08_thin_V_30_40_762.jpg|images/bundle/gallery/A02_cat_room2_sq_1031082511_762.jpg,A02_cat_05_thin_V_A3_29_7_42
,,,,images/bundle/A02_10090_cat_277.jpg,,,animal,cat,,,,A02_cat_09_thin_V_A2_59.4x42
,,,,images/bundle/A02_10100_cat_277.jpg,,,animal,cat,,,,A02_cat_01_thin_H_A3_29_7_42
,,,,images/bundle/A02_10110_cat_277.jpg,,,animal,cat,,,,A02_cat_07_thin_H_A2_59_4_42
,,,,images/bundle/A02_10120_cat_277.jpg,,,animal,cat,,,,A02_cat_10_thin_V_A2_59.4x42
,,,,images/bundle/A02_10130_cat_277.jpg,,,animal,cat,,,,A02_cat_04_thin_V_A4_29_7_21
,,,,images/bundle/A02_10140_cat_277.jpg,,,animal,cat,,,,A02_cat_02_thin_H_A3_29_7_42
,,,,images/bundle/A02_10150_cat_277.jpg,,,animal,cat,,,,A02_cat_03_A3_thin_V_30_80
,,,,images/bundle/A02_10160_cat_277.jpg,,,animal,cat,,,,A02_cat_08_thin_V_30_40
bundle,"Blue Flowers, Desire, Love and Inspiration",blue-flowers-desire-love-and-inspiration,A0B_10610,images/bundle/A03_10170_abst_fl_blue_277.jpg,"abstract,abstract,abstract,abstract,abstract,abstract,abstract,abstract,flower,flower,flower,water,water,material,sea,sea,painting,blossom,artistic,blue,abstract,painting,blossom,artistic,blue,abstract,painting,blossom,artistic,blue,abstract,painting,boat,artistic,sea,abstract,blue,lake,creature,photo,artistic,jellyfish,abstract,blue,sea,steel,panel,artistic,stripe,abstract,blue,tunnel,lake,photo,artistic,wood branch,abstract,tree,blue,purple,water,bubbles,artistic,painting,abstract,illustration,blue,cloud",flower,abstract,flower,,images/bundle/gallery/A03_bundle_chart_thumb_762.jpg,images/bundle/gallery/A03_1025_room_1_2_762.jpg|images/bundle/gallery/A03_abs_flower_sizes_decor_n_chart_combo2_dog_762.jpg|images/bundle/gallery/A0B_405_2_762.jpg|images/bundle/gallery/A03_abs_flo_01_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A03_abs_flo_04_A1c_fancy_V_30_80_762.jpg|images/bundle/gallery/A03_abs_flo_05_fancy_V_30_30_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42p2_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42_p1_762.jpg|images/bundle/gallery/A03_abs_flo_02_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A03_abs_flo_03_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A03_abs_flo_06_A4_thin_V_A4_29_7_21_762.jpg|images/bundle/gallery/A03_abs_flo_07_A4_thin_V_A4_29_7_21_762.jpg|images/bundle/gallery/A03_abs_flo_08_A3H_thin_H_A3_29_7_42_762.jpg|images/bundle/gallery/A03_1028_room_1a_762.jpg,A03_abs_flo_01_thin_V_A2_59_4_42
